id,standard,alternative,english
2193,Mynydd-bach,,Mynydd-bach
2194,Mynydd-bach,,Mynydd-bach
2195,Mynydd-bach-y-glo,,Mynydd-bach-y-glo
2196,Mynyddcerrig,,Mynyddcerrig
2197,Mynyddcynffig,,"Kenfig Hill"
2198,Mynyddisa,,Mynyddisa
2199,Mynyddislwyn,,Mynyddislwyn
2200,Mynydd-llan,,Mynydd-llan
2201,Mynydd-y-Fflint,,"Flint Mountain"
2202,Mynyddygarreg,,Mynyddygarreg
2203,Mynytho,,Mynytho
2204,Naid-y-march,,Naid-y-march
2205,Nanhoron,,Nanhoron
2206,Nanhyfer,,Nevern
2207,Nannerch,,Nannerch
2208,"Nant Bwlchyrhaearn",,"Nant Bwlchyrhaearn"
2209,Nantcwnlle,,Nantcwnlle
2210,Nant-ddu,,Nant-ddu
2211,Nanternis,,Nanternis
2212,Nantgaredig,,Nantgaredig
2213,Nantgarw,,Nantgarw
2214,Nant-glas,,Nant-glas
2215,Nantglyn,,Nantglyn
2216,Nantgwynant,,Nantgwynant
2217,Nantlle,,Nantlle
2218,Nantmel,,Nantmel
2219,Nantmor,,Nantmor
2220,Nantperis,,Nantperis
2221,Nant-y-bai,,Nant-y-bai
2222,Nant-y-bwch,,Nant-y-bwch
2223,Nant-y-cafn,,Nant-y-cafn
2224,Nant-y-caws,,Nant-y-caws
2225,Nantyceisiad,,Nantyceisiad
2226,Nantyderi,,Nantyderi
2227,Nantyfelin,,Nantyfelin
2228,Nant-y-ffin,,Nant-y-ffin
2229,Nantyffyllon,,Nantyffyllon
2230,Nant-y-glo,,Nant-y-glo
2231,Nant-y-moel,,Nant-y-moel
2232,Nantypandy,,Nantypandy
2233,Nantyrhibo,,Nantyrhibo
2234,Narth,,Narth
2235,Nasareth,,Nasareth
2236,Nebo,,Nebo
2237,Nebo,,Nebo
2238,Nebo,,Nebo
2239,Nebo,,Nebo
2240,Nefyn,,Nefyn
2241,Nelson,,Nelson
2242,Nercwys,,Nercwys
2243,Neuadd,,Neuadd
2244,"Neuadd Cross",,"Neuadd Cross"
2245,Neuadd-lwyd,,Neuadd-lwyd
2246,"New Brighton",,"New Brighton"
2247,"New Brighton",,"New Brighton"
2248,"New Broughton",,"New Broughton"
2249,"New Hedges",,"New Hedges"
2250,"New Inn",,"New Inn"
2251,"New Inn",,"New Inn"
2252,Newbridge,,Newbridge
2253,"Newbridge on Usk",,"Newbridge on Usk"
2254,Newton,,Newton
2255,"Newton Green",,"Newton Green"
2256,Newtown,,Newtown
2257,Neyland,,Neyland
2258,Nicholaston,,Nicholaston
2259,Niwbwrch,,Newborough
2260,Niwgwl,,Newgale
2261,Nolton,,Nolton
2262,Northville,,Northville
2263,Norton,,Norton
2264,Norton,,Norton
2265,Norton,,Norton
2266,Norton,,Norton
2267,Notais,,Nottage
2268,Oakdale,,Oakdale
2269,Oakenholt,,Oakenholt
2270,Oakfield,,Oakfield
2271,Ochrwyth,,Ochrwyth
2272,Ogwr,,Ogmore
2273,"Yr Olchfa",,"Yr Olchfa"
2274,"Old Furnace",,"Old Furnace"
2275,"Old Warren",,"Old Warren"
2276,Oldcastle,,Oldcastle
2277,Oldwalls,,Oldwalls
2278,Oldway,,Oldway
2279,Olmarch,,Olmarch
2280,Onllwyn,,Onllwyn
2281,Onnen,,Onnen
2282,"Yr Orsedd",,Rossett
2283,Osbaston,,Osbaston
2284,"Over Monnow",,"Over Monnow"
2285,Overton,,Overton
2286,Owrtyn,,Overton
2287,Oxwich,,Oxwich
2288,Padeswood,,Padeswood
2289,Palmerstown,,Palmerstown
2290,Pancross,,Pancross
2291,Pandy,,Pandy
2292,Pandy,,Pandy
2293,Pandy,,Pandy
2294,Pandy,,Pandy
2295,"Pandy Rhiwsaeson",,"Pandy Rhiwsaeson"
2296,"Pandy’r Capel",,"Pandy’r Capel"
2297,Pandytudur,,Pandytudur
2298,Pantasaph,,Pantasaph
2299,Pant-du,,Pant-du
2300,Pant-glas,,Pant-glas
2301,Pant-glas,,Pant-glas
2302,Pantlasau,,Pantlasau
2303,Pant-mawr,,Pant-mawr
2304,Pant-mawr,,Pant-mawr
2305,Pantolwen,,Pantolwen
2306,Pantperthog,,Pantperthog
2307,Pant-teg,,Pant-teg
2308,Pant-y-caws,,Pant-y-caws
2309,Pantycendy,,Pantycendy
2310,Pant-y-crug,,Pant-y-crug
2311,Pant-y-dŵr,,Pant-y-dŵr
2312,Pant-y-ffridd,,Pant-y-ffridd
2313,Pantyffynnon,,Pantyffynnon
2314,Pantygaseg,,Pantygaseg
2315,Pantygelli,,Pantygelli
2316,Pantygerdinen,,Ashvale
2317,Pant-y-gog,,Pant-y-gog
2318,Pantygoytre,,Pantygoytre
2319,Pant-y-graig-wen,,Pant-y-graig-wen
2320,Pant-y-mwyn,,Pant-y-mwyn
2321,Pantypwdyn,,Pantypwdyn
2322,Pantypyllau,,Pantypyllau
2323,Pantyrawel,,Pantyrawel
2324,Pant-y-Waco,,Pant-y-Waco
2325,Paradwys,,Paradwys
2326,Parc,,Parc
2327,"Parc Cathays",,"Cathays Park"
2328,"Parc Hendredenny",,"Hendredenny Park"
2329,"Parc Lansbury",,"Lansbury Park"
2330,"Parc Mawr",,"Parc Mawr"
2331,"Parc Seymour",,"Parc Seymour"
2332,"Parc Victoria",,"Victoria Park"
2333,"Parc Watford",,"Watford Park"
2334,"Parc y Rhath",,"Roath Park"
2335,Parciau,,Parkey
2336,Parc-llyn,,Parc-llyn
2337,Parc-y-rhiw,,Parc-y-rhiw
2338,Parc-y-rhos,,Parc-y-rhos
2339,"Park Lane",,"Park Lane"
2340,Parkhouse,,Parkhouse
2341,Parkmill,,Parkmill
2342,Parkside,,Parkside
2343,Parrog,,Parrog
2344,Patrisio,,Partrishow
2345,Pedair-ffordd,,Pedair-ffordd
2346,Pedair-hewl,,"Four Roads"
2347,Pelcomb,,Pelcomb
2348,"Pelcomb Bridge",,"Pelcomb Bridge"
2349,"Pelcomb Cross",,"Pelcomb Cross"
2350,Pemberton,,Pemberton
2351,"Pen Pyrod",,"Worm's Head"
2352,Pen-allt,,Pen-allt
2353,Penallta,,Penallta
2354,Penalun,,Penally
2355,Penantlliw,,Penantlliw
2356,Penarlâg,,Hawarden
2357,Penarth,,Penarth
2358,"Penarth Isaf",,"Lower Penarth"
2359,Penbodlas,,Penbodlas
2360,"Pen-bont Rhydybeddau",,"Pen-bont Rhydybeddau"
2361,Pen-boyr,,Pen-boyr
2362,Pen-bre,,Pen-bre
2363,Penbryn,,Penbryn
2364,Pencader,,Pencader
2365,Pencaenewydd,,Pencaenewydd
2366,Pencaerau,,Pencaerau
2367,Pencarnisiog,,Pencarnisiog
2368,Pencarreg,,Pencarreg
2369,Penceiliogi,,Penceiliogi
2370,Pencelli,,Pencelli
2371,Pen-clawdd,,Pen-clawdd
2372,Pencoed,,Pencoed
2373,Pencraig,,"Old Radnor"
2374,Pendderi,,Pendderi
2375,Penderyn,,Penderyn
2376,Pendeulwyn,,Pendoylan
2377,Pen-dre,,Pen-dre
2378,Pen-dre,,Pen-dre
2379,Penegoes,,Penegoes
2380,Pen-ffordd,,Pen-ffordd
2381,Penffordd-las,,Staylittle
2382,Penffordd-llan,,Penffordd-llan
2383,Penfro,,Pembroke
2384,Pengam,,Pengam
2385,Pengarn-ddu,,Pengarn-ddu
2386,Pengelli,,Grovesend
2387,Pengenffordd,,Pengenffordd
2388,Pengilfach,,Pengilfach
2389,Pengorffwysfa,,Pengorffwysfa
2390,Pengroeslon,,Pengroeslon
2391,Pengroesoped,,Pengroesoped
2392,Penhelyg,,Penhelyg
2393,Pen-hw,,Pen-how
2394,Peniel,,Peniel
2395,Peniel,,Peniel
2396,"Peniel Green",,"Peniel Green"
2397,Penisa'r-waun,,Penisa'r-waun
2398,Pen-lan,,Pen-lan
2399,Pen-lan,,Pen-lan
2400,Pen-lan,,Pen-lan
2401,Penlanmabws,,Penlanmabws
2402,Penlle'r-gaer,,Penlle'r-gaer
2403,Pen-llin,,Pen-llin
2404,Penllwyn,,Penllwyn
2405,Pen-llwyn,,Pen-llwyn
2406,Penmachno,,Penmachno
2407,Penmaen,,Penmaen
2408,Pen-maen,,Pen-maen
2409,Penmaenmawr,,Penmaenmawr
2410,Pen-marc,,Penmark
2411,Penmon,,Penmon
2412,Penmorfa,,Penmorfa
2413,Penmynydd,,Penmynydd
2414,Pennal,,Pennal
2415,Pennant,,Pennant
2416,Pennant,,Pennant
2417,"Pennant Melangell",,"Pennant Melangell"
2418,Pennar,,Pennar
2419,"Pennar Park",,"Pennar Park"
2420,Pennard,,Pennard
2421,Pennon,,Pennon
2422,Pennorth,,Pennorth
2423,Pen-parc,,Pen-parc
2424,Penparcau,,Penparcau
2425,Penpedairheol,,Penpedairheol
2426,Penpedairheol,,Penpedairheol
2427,Penpergwm,,Penpergwm
2428,Penperllenni,,Penperllenni
2429,Pen-plas,,Pen-plas
2430,Pen-pont,,Pen-pont
2431,Pen-prysg,,Pen-prysg
2432,Pen-rallt,,Pen-rallt
2433,Penrherber,,Penrherber
2434,Pen-rhiw,,Pen-rhiw
2435,Penrhiw-ceibr,,Penrhiw-ceibr
2436,Penrhiw-fawr,,Penrhiw-fawr
2437,Penrhiw-fer,,Penrhiw-fer
2438,Penrhiwgarreg,,Penrhiwgarreg
2439,Penrhiw-goch,,Penrhiw-goch
2440,Penrhiw-llan,,Penrhiw-llan
2441,Penrhiw-llech,,Penrhiw-llech
2442,Penrhiwnewydd,,Penrhiwnewydd
2443,Penrhiwpâl,,Penrhiwpâl
2444,Penrhiwtyn,,Penrhiwtyn
2445,Penrhos,,Penrhos
2446,Pen-rhos,,Pen-rhos
2447,Pen-rhos,,Pen-rhos
2448,Pen-rhos,,Pen-rhos
2449,Penrhosfeilw,,Penrhosfeilw
2450,Penrhosgarnedd,,Penrhosgarnedd
2451,Penrhosllugwy,,Penrhosllugwy
2452,"Penrhyn Castle",,"Penrhyn Castle"
2453,Penrhyn-coch,,Penrhyn-coch
2454,Penrhyndeudraeth,,Penrhyndeudraeth
2455,Pen-rhys,,Penrice
2456,Pen-rhys,,Pen-rhys
2457,Pen-sarn,,Pen-sarn
2458,Pen-sarn,,Pen-sarn
2459,Pen-sarn,,Pen-sarn
2460,Pentir,,Pentir
2461,Pentlepoir,,Pentlepoir
2462,Pentopyn,,Pentopyn
2463,Pentowin,,Pentowin
2464,Pentraeth,,Pentraeth
2465,Pentrapiod,,Pentrapiod
2466,Pentre,,Pentre
2467,Pentre,,Pentre
2468,Pentre,,Pentre
2469,Pentre,,Pentre
2470,Pentre,,Pentre
2471,Pentre,,Pentre
2472,"Pentre Berw",,"Pentre Berw"
2473,"Pentre Broughton",,"Pentre Broughton"
2474,"Pentre Elan",,"Elan Village"
2475,"Pentre Gwynfryn",,"Pentre Gwynfryn"
2476,"Pentre Helygain",,"Pentre Halkyn"
2477,"Pentre Llanrhaeadr",,"Pentre Llanrhaeadr"
2478,"Pentre Llifior",,"Pentre Llifior"
2479,"Pentre Llwyn-llwyd",,"Pentre Llwyn-llwyd"
2480,"Pentre Maelor",,"Pentre Maelor"
2481,"Pentre Tafarnyfedw",,"Pentre Tafarnyfedw"
2482,Pentre’r-beirdd,,Pentre’r-beirdd
2483,Pentre-bach,,Pentre-bach
2484,Pentre-bach,,Pentre-bach
2485,Pentre-bach,,Pentre-bach
2486,Pentre-bach,,Pentre-bach
2487,Pentre-bach,,Pentre-bach
2488,Pentrecagal,,Pentrecagal
2489,Pentrecelyn,,Pentrecelyn
2490,Pentre-chwyth,,Pentre-chwyth
2491,Pentre-cwrt,,Pentre-cwrt
2492,Pentredŵr,,Pentredŵr
2493,Pentredŵr,,Pentredŵr
2494,Pentrefelin,,Pentrefelin
2495,Pentrefelin,,Pentrefelin
2496,Pentrefelin,,Pentrefelin
2497,Pentrefelin,,Pentrefelin
2498,Pentrefelin,,Pentrefelin
2499,Pentrefelin,,Pentrefelin
2500,Pentrefoelas,,Pentrefoelas
2501,Pentref-y-groes,,Pentref-y-groes
2502,Pentregalar,,Pentregalar
2503,Pentregât,,Pentregât
2504,Pentregwenlais,,Pentregwenlais
2505,Pentre-llwyn,,Pentre-llwyn
2506,Pentremeirug,,"Pentre Meyrick"
2507,Pentremorgan,,Pentremorgan
2508,Pentrepiod,,Pentrepiod
2509,Pentre-poeth,,Pentre-poeth
2510,Pentre-poeth,,Pentre-poeth
2511,Pentre-poeth,,Pentre-poeth
2512,Pentre-poeth,,Morganstown
2513,Pentre-poeth,,Pentre-poeth
2514,"Pentre'r Eglwys",,"Church Village"
2515,Pentre'r-ardd,,"Garden Village"
2516,Pentre'r-bryn,,Pentre'r-bryn
2517,Pentre'r-felin,,Pentre'r-felin
2518,Pentre'rgaseg,,Pentre'rgaseg
2519,Pentre-rhew,,Pentre-rhew
2520,Pentre-uchaf,,Pentre-uchaf
2521,Pentre-waun,,Pentre-waun
2522,Pentrisil,,Pentrisil
2523,Pentwyn,,Pentwyn
2524,Pen-twyn,,Pen-twyn
2525,Pen-twyn,,Pen-twyn
2526,Pen-twyn,,Pen-twyn
2527,Pen-twyn,,Pen-twyn
2528,Pen-twyn,,Pen-twyn
2529,Pentwynberth-lwyd,,Pentwynberth-lwyd
2530,Pentwyn-mawr,,Pentwyn-mawr
2531,Pentyrch,,Pentyrch
2532,Pentyrch,,Pentyrch
2533,Pentywyn,,Pendine
2534,Pen-uwch,,Pen-uwch
2535,Pen-wyllt,,Pen-wyllt
2536,Penyard,,Penyard
2537,Pen-y-banc,,Pen-y-banc
2538,Pen-y-banc,,Pen-y-banc
2539,Pen-y-banc,,Pen-y-banc
2540,Pen-y-bedd,,Pen-y-bedd
2541,Pen-y-bont,,Pen-y-bont
2542,Pen-y-bont,,Pen-y-bont
2543,Pen-y-bont,,Pen-y-bont
2544,Pen-y-bont,,Pen-y-bont
2545,"Pen-y-bont ar Ogwr",,Bridgend
2546,"Pen-y-bont Llannerch Emrys",,"Pen-y-bont Llannerch Emrys"
2547,Pen-y-bont-fawr,,Pen-y-bont-fawr
2548,Pen-y-bryn,,Hilltop
2549,Pen-y-bryn,,Pen-y-bryn
2550,Pen-y-bryn,,Pen-y-bryn
2551,Pen-y-bryn,,Pen-y-bryn
2552,Pen-y-cae,,Pen-y-cae
2553,Pen-y-cae,,Pen-y-cae
2554,Pen-y-cae,,Pen-y-cae
2555,Pen-y-cae,,Pen-y-cae
2556,Pen-y-cae-mawr,,Pen-y-cae-mawr
2557,Pen-y-cefn,,Pen-y-cefn
2558,Penychain,,Penychain
2559,Pen-y-clawdd,,Pen-y-clawdd
2560,Penycoedcae,,Penycoedcae
2561,Pen-y-cwm,,Pen-y-cwm
2562,Penydarren,,Penydarren
2563,Pen-y-dre,,Pen-y-dre
2564,Pen-y-fai,,Pen-y-fai
2565,Pen-y-fai,,Pen-y-fai
2566,Pen-y-fan,,Pen-y-fan
2567,Pen-y-fan,,Pen-y-fan
2568,Pen-y-fan,,Pen-y-fan
2569,Penyfeidr,,Penyfeidr
2570,Pen-y-ffordd,,Pen-y-ffordd
2571,Pen-y-ffordd,,Pen-y-ffordd
2572,Pen-y-ffridd,,Pen-y-ffridd
2573,Pen-y-foel,,Pen-y-foel
2574,Pen-y-garn,,Pen-y-garn
2575,Pen-y-garn,,Pen-y-garn
2576,Pen-y-garn,,Pen-y-garn
2577,Penygarnedd,,Penygarnedd
2578,Penygarnedd,,Penygarnedd
2579,Penygelli,,Penygelli
2580,Pen-y-graig,,Pen-y-graig
2581,Pen-y-graig,,Pen-y-graig
2582,Pen-y-groes,,Pen-y-groes
2583,Pen-y-groes,,Pen-y-groes
2584,Pen-y-groes,,Pen-y-groes
2585,Pen-y-groes,,Pen-y-groes
2586,Pen-y-lan,,Pen-y-lan
2587,Penymynydd,,Penymynydd
2588,Pen-y-pound,,Pen-y-pound
2589,Penyraber,,Penyraber
2590,Penyrenglyn,,Penyrenglyn
2591,Penyrheol,,Penyrheol
2592,Penyrheol,,Penyrheol
2593,Penyrheol,,Penyrheol
2594,Penyrheol,,Penyrheol
2595,Penyrheol,,Penyrheol
2596,Penyrheol,,Penyrheol
2597,Pen-y-waun,,Pen-y-waun
2598,Pen-y-wern,,Pen-y-wern
2599,Perthcelyn,,Perthcelyn
2600,Phillipstown,,Phillipstown
2601,Pibwr-lwyd,,Pibwr-lwyd
2602,Picketston,,Picketston
2603,Picton,,Picton
2604,"Picton Ferry",,"Picton Ferry"
2605,"Y Pîl",,Pyle
2606,Pilgwenlli,,Pillgwenlly
2607,Pill,,Pill
2608,Pinged,,Pinged
2609,Pisgah,,Pisgah
2610,Pisgah,,Pisgah
2611,Pistyll,,Pistyll
2612,Pit,,Pit
2613,Pitcot,,Pitcot
2614,Pitton,,Pitton
2615,"Plain Dealings",,"Plain Dealings"
2616,"Plas Madog",,"Plas Madog"
2617,Plas-coch,,Plas-coch
2618,Plashett,,Plashett
2619,Plas-marl,,Plas-marl
2620,"Pleasant Valley",,"Pleasant Valley"
2621,Plwmp,,Plwmp
2622,Ponciau,,Ponciau
2623,"Pont Arberth",,"Narberth Bridge"
2624,"Pont Siôn Norton",,"Pont Siôn Norton"
2625,Pontaman,,Pontaman
2626,Pontantwn,,Pontantwn
2627,Pontardawe,,Pontardawe
2628,Pontarddulais,,Pontarddulais
2629,Pontarfynach,,"Devil's Bridge"
2630,Pontargothi,,Pontargothi
2631,Pontarllechau,,Pontarllechau
2632,Pont-ar-sais,,Pont-ar-sais
2633,Pontblyddyn,,Pontblyddyn
2634,Pontcanna,,Pontcanna
2635,Pontceri,,Pontceri
2636,Pont-dôl-goch,,Pont-dôl-goch
2637,Ponterwyd,,Ponterwyd
2638,Pontfadlen,,"Merlins Bridge"
2639,Pontfadog,,Pontfadog
2640,Pont-faen,,Pont-faen
2641,Pont-faen,,Pont-faen
2642,Pont-ffranc,,"Frank's Bridge"
2643,Pontgarreg,,Pontgarreg
2644,Pont-henri,,Pont-henri
2645,Pont-hir,,Pont-hir
2646,Pont-hirwaun,,Pont-hirwaun
2647,Pont-hwfa,,Pont-hwfa
2648,Pontiago,,Pontiago
2649,Pont-iets,,Pont-iets
2650,Pontithel,,Pontithel
2651,Pontllan-fraith,,Pontllan-fraith
2652,Pontllanio,,Pontllanio
2653,Pont-lliw,,Pont-lliw
2654,Pontllogel,,Pontllogel
2655,Pontllyfni,,Pontllyfni
2656,Pontlotyn,,Pontlotyn
2657,Pontmorlais,,Pontmorlais
2658,Pontnewydd,,Pontnewydd
2659,Pontnewydd,,Pontnewydd
2660,Pontnewynydd,,Pontnewynydd
2661,Pontprennau,,Pontprennau
2662,Pontrhydfendigaid,,Pontrhydfendigaid
2663,Pont-rhyd-y-bont,,"Four Mile Bridge"
2664,Pont-rhyd-y-ceirt,,Pont-rhyd-y-ceirt
2665,Pont-rhyd-y-cyff,,Pont-rhyd-y-cyff
2666,Pont-rhyd-y-fen,,Pont-rhyd-y-fen
2667,Pont-rhyd-y-groes,,Pont-rhyd-y-groes
2668,Pont-rhyd-yr-ynn,,Pont-rhyd-yr-ynn
2669,Pontrhythallt,,Pontrhythallt
2670,Pontrobert,,Pontrobert
2671,Pont-rug,,Pont-rug
2672,Pont-sarn,,Pont-sarn
2673,Pontsenni,,Sennybridge
2674,Pontsiân,,Pontsiân
2675,Pontsticill,,Pontsticill
2676,Pont-tyweli,,Pont-tyweli
2677,Pontwalby,,Pontwalby
2678,Pontyberem,,Pontyberem
2679,Pont-y-blew,,Pont-y-blew
2680,Pontybodkin,,Pontybodkin
2681,Pontybrenin,,Kingsbridge
2682,Pont-y-clun,,Pont-y-clun
2683,Pontycymer,,Pontycymer
2684,Pontyfelin,,Pontyfelin
2685,Pontyfelin,,Pontyfelin
2686,Pontyfenni,,Pontyfenni
2687,Pontyglasier,,Pontyglasier
2688,Pont-y-gof,,Pont-y-gof
2689,Pont-y-gwaith,,Pont-y-gwaith
2690,Pontymister,,Pontymister
2691,Pont-y-moel,,Pont-y-moel
2692,Pont-y-pant,,Pont-y-pant
2693,Pontypridd,,Pontypridd
2694,Pont-y-pŵl,,Pontypool
2695,Pontyrhafod,,Pontyrhafod
2696,Pont-y-rhyl,,Pont-y-rhyl
2697,Pontystrad,,Pontystrad
2698,Pont-y-waun,,Pont-y-waun
2699,"Port Lion",,"Port Lion"
2700,"Port Talbot",,"Port Talbot"
2701,"Port Tennant",,"Port Tennant"
2702,"Portfield Gate",,"Portfield Gate"
2703,Porth,,Porth
2704,"Porth Dinllaen",,"Porth Dinllaen"
2705,"Porth Penrhyn",,"Porth Penrhyn"
2706,"Porth Tywyn",,"Burry Port"
2707,Porthaethwy,,"Menai Bridge"
2708,Porthcawl,,Porthcawl
2709,Porthceri,,Porthkerry
2710,"Porthceri Isaf",,"Lower Porthkerry"
2711,Portheiddi,,Portheiddi
2712,Porth-gain,,Porth-gain
2713,Porthllechog,,"Bull Bay"
2714,Porthmadog,,Porthmadog
2715,Porthsgiwed,,Portskewett
2716,Porthyfelin,,Porthyfelin
2717,Porth-y-rhyd,,Porth-y-rhyd
2718,Porth-y-rhyd,,Porth-y-rhyd
2719,Portmead,,Portmead
2720,Portmeirion,,Portmeirion
2721,Post-mawr,,"Synod Inn"
2722,Poundffald,,Poundffald
2723,Poyston,,Poyston
2724,"Poyston Cross",,"Poyston Cross"
2725,Prendergast,,Prendergast
2726,Prendergast,,Prendergast
2727,Pren-gwyn,,Pren-gwyn
2728,Pren-teg,,Pren-teg
2729,Presgoed,,Presgoed
2730,Prestatyn,,Prestatyn
2731,"Price Town",,"Price Town"
2732,"Princes Gate",,"Princes Gate"
2733,Princetown,,Princetown
2734,Prion,,Prion
2735,Priory,,Priory
2736,Prysg,,Prisk
2737,Pump-hewl,,"Five Roads"
2738,Pumsaint,,Pumsaint
2739,Pwllcrochan,,Pwllcrochan
2740,Pwll-du,,Pwll-du
2741,Pwll-du,,Pwll-du
2742,Pwll-glas,,Pwll-glas
2743,Pwllgloyw,,Pwllgloyw
2744,Pwll-gwaun,,Pwll-gwaun
2745,Pwllheli,,Pwllheli
2746,Pwllhobi,,Pwllhobi
2747,Pwllmeurig,,Pwllmeurig
2748,Pwll-trap,,Pwll-trap
2749,Pwll-y-glaw,,Pwll-y-glaw
2750,Pwll-y-pant,,Pwll-y-pant
2751,Pwll-y-wrach,,Pwll-y-wrach
2752,"Pye Corner",,"Pye Corner"
2753,"Pyllau Bedwellte",,"Bedwellty Pits"
2754,Queensferry,,Queensferry
2755,Rachub,,Rachub
2756,Radur,,Radyr
2757,Radur,,Rhadyr
2758,Ram,,Ram
2759,"Ras Isaf",,"Lower Race"
2760,"Ras Uchaf",,"Upper Race"
2761,Redberth,,Redberth
2762,Redbrook,,Redbrook
2763,Redwick,,Redwick
2764,Refail,,Refail
2765,Resolfen,,Resolfen
2766,Reynalton,,Reynalton
2767,Reynoldston,,Reynoldston
2768,"Rhaeadr Gwy",,Rhayader
2769,Rhaglan,,Rhaglan
2770,Rhandir-mwyn,,Rhandir-mwyn
2771,"Y Rhath",,Roath
2772,Rhes-y-cae,,Rhes-y-cae
2773,Rhewl,,Rhewl
2774,Rhewl,,Rhewl
2775,Rhewl,,Rhewl
2776,"Rhewl Mostyn",,"Rhewl Mostyn"
2777,Rhewl-fawr,,Rhewl-fawr
2778,"Y Rhigos",,"Y Rhigos"
2779,Rhisga,,Risca
2780,Rhiw,,Rhiw
2781,"Y Rhiw",,"Y Rhiw"
2782,Rhiwabon,,Ruabon
2783,Rhiwbeina,Rhiwbina,Rhiwbina
2784,Rhiwbryfdir,,Rhiwbryfdir
2785,Rhiwceiliog,,Rhiwceiliog
2786,Rhiwderyn,,Rhiwderyn
2787,Rhiwinder,,Rhiwinder
2788,Rhiwlas,,Rhiwlas
2789,Rhiwlas,,Rhiwlas
2790,Rhiwlen,,Rhiwlen
2791,Rhiw'r-perrai,,Ruperra
2792,Rhiwsaeson,,Rhiwsaeson
2793,Rhodogeidio,,Rhodogeidio
2794,Rhos,,Rhos
2795,Rhos,,Rhos
2796,"Rhos Isaf",,"Rhos Isaf"
2797,Rhosaman,,Rhosaman
2798,Rhosbeirio,,Rhosbeirio
2799,Rhoscefn-hir,,Rhoscefn-hir
2800,Rhoscolyn,,Rhoscolyn
2801,Rhoscrowdder,,Rhoscrowdder
2802,Rhos-ddu,,Rhos-ddu
2803,Rhos-ddu,,Rhos-ddu
2804,Rhosdylluan,,Rhosdylluan
2805,Rhosesmor,,Rhosesmor
2806,Rhos-fach,,Rhos-fach
2807,Rhos-fawr,,Rhos-fawr
2808,Rhosgadfan,,Rhosgadfan
2809,Rhos-goch,,Rhos-goch
2810,Rhos-goch,,"Red Roses"
2811,Rhos-goch,,Rhos-goch
2812,Rhosgyll,,Rhosgyll
2813,Rhoshirwaun,,Rhoshirwaun
2814,Rhos-hyl,,Rhos-hyl
2815,Rhosili,,Rhosili
2816,Rhos-lan,,Rhos-lan
2817,Rhoslefain,,Rhoslefain
2818,Rhosllannerchrugog,,Rhosllannerchrugog
2819,Rhos-maen,,Rhos-maen
2820,Rhos-meirch,,Rhos-meirch
2821,Rhosneigr,,Rhosneigr
2822,Rhosnesni,,Rhosnesni
2823,Rhosrobin,,Rhosrobin
2824,Rhostrehwfa,,Rhostrehwfa
2825,Rhostryfan,,Rhostryfan
2826,Rhostyllen,,Rhostyllen
2827,Rhos-y-bol,,Rhos-y-bol
2828,Rhosybrithdir,,Rhosybrithdir
2829,Rhosycaerau,,Rhosycaerau
2830,Rhos-y-garth,,Rhos-y-garth
2831,Rhosygwaliau,,Rhosygwaliau
2832,Rhos-y-llan,,Rhos-y-llan
2833,Rhosymadoc,,Rhosymadoc
2834,Rhosymedre,,Rhosymedre
2835,Rhos-y-meirch,,Rhos-y-meirch
2836,Rhosyn-coch,,Rhosyn-coch
2837,Rhosypentref,,Rhosypentref
2838,Rhos-y-waun,,Rhos-y-waun
2839,Rhuallt,,Rhuallt
2840,Rhuddlan,,Rhuddlan
2841,Rhuddlan,,Rhuddlan
2842,Rhuthun,,Ruthin
2843,"Y Rhws",,Rhoose
2844,Rhyd,,Rhyd
2845,Rhydaman,,Ammanford
2846,Rhydargaeau,,Rhydargaeau
2847,Rhydcymerau,,Rhydcymerau
2848,Rhyd-ddu,,Rhyd-ddu
2849,Rhydfelen,,Rhydfelen
2850,Rhydgaled,,Chancery
2851,Rhyding,,Rhyding
2852,Rhydlafar,,Rhydlafar
2853,Rhydlewis,,Rhydlewis
2854,Rhydlios,,Rhydlios
2855,Rhydlydan,,Rhydlydan
2856,Rhydlydan,,Rhydlydan
2857,Rhydodyn,,Edwinsford
2858,Rhydowen,,Rhydowen
2859,Rhydowen,,Rhydowen
2860,Rhydri,,Rudry
2861,Rhydroser,,Rhydroser
2862,Rhydsarnau,,Rhydsarnau
2863,Rhyduchaf,,Rhyduchaf
2864,Rhyd-wen,,Rhyd-wen
2865,Rhydwilym,,Rhydwilym
2866,Rhyd-wyn,,Rhyd-wyn
2867,Rhyd-y-blew,,Carmeltown
2868,Rhyd-y-Brown,,Rhyd-y-Brown
2869,Rhyd-y-car,,Rhyd-y-car
2870,Rhydyclafdy,,Rhydyclafdy
2871,Rhydycroesau,,Rhydycroesau
2872,Rhydyfelin,,Rhydyfelin
2873,Rhydyfelin,,Rhydyfelin
2874,Rhyd-y-foel,,Rhyd-y-foel
2875,Rhyd-y-fro,,Rhyd-y-fro
2876,Rhydygele,,Rhydygele
2877,Rhyd-y-gwin,,Rhyd-y-gwin
2878,Rhydygwystl,,Rhydygwystl
2879,Rhyd-y-main,,Rhyd-y-main
2880,Rhyd-y-meirch,,Rhyd-y-meirch
2881,Rhydymeudwy,,Rhydymeudwy
2882,Rhyd-y-mwyn,,Rhyd-y-mwyn
2883,Rhydypandy,,Rhydypandy
